26.11.2018                        Dynamic List Display                               1
--------------------------------------------------------------------------------------
--------------------------------------------------------------------------------------
|BUKRS|LIFNR |GJAHR|BELNR     |BUZEI|BLDAT     |XBLNR           |BLART|         DMBTR|
|C04  |300533| 2018|5100481545|    1|21.08.2018|9130076220      |RE   |     4,704.40 |
|C04  |300533| 2018|5100481546|    1|21.08.2018|9130076221      |RE   |     4,704.40 |
|C04  |300533| 2018|5100481547|    1|21.08.2018|9130076222      |RE   |     4,704.40 |
|C04  |300533| 2018|5100481548|    1|21.08.2018|9130076223      |RE   |     4,704.40 |
|C04  |300533| 2018|5100481549|    1|21.08.2018|9130076224      |RE   |     4,704.40 |
|C04  |300533| 2018|5100481550|    1|21.08.2018|9130076225      |RE   |     4,704.40 |
|C04  |300533| 2018|5100481551|    1|21.08.2018|9130076227      |RE   |     4,704.40 |
|C04  |300533| 2018|5100481552|    1|21.08.2018|9130076259      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481553|    1|21.08.2018|9130076228      |RE   |     4,704.40 |
|C04  |300533| 2018|5100481554|    1|21.08.2018|9130076229      |RE   |     4,704.40 |
|C04  |300533| 2018|5100481555|    1|21.08.2018|9130076230      |RE   |     4,704.40 |
|C04  |300533| 2018|5100481556|    1|21.08.2018|9130076258      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481557|    1|21.08.2018|9130076257      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481558|    1|21.08.2018|9130076256      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481559|    1|21.08.2018|9130076255      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481560|    1|21.08.2018|9130076252      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481561|    1|21.08.2018|9130076251      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481562|    1|21.08.2018|9130076231      |RE   |     4,704.40 |
|C04  |300533| 2018|5100481563|    1|21.08.2018|9130076226      |RE   |     4,704.40 |
|C04  |300533| 2018|5100481564|    1|21.08.2018|9130076232      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481565|    1|21.08.2018|9130076249      |RE   |     5,004.40 |
|C04  |300533| 2018|5100481566|    1|21.08.2018|9130076233      |RE   |     5,004.40 |
