BUKRS,LIFNR,GJAHR,BELNR,BUZEI,BLDAT_1,XBLNR,BLART,DMBTR,BLDAT
C04  ,300533,2018,5100481558,1,,9130076256      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481559,1,,9130076255      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481560,1,,9130076252      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481561,1,,9130076251      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481562,1,,9130076231      ,RE   ,4704.3999,21/8/2018
C04  ,300533,2018,5100481563,1,,9130076226      ,RE   ,4704.3999,21/8/2018
C04  ,300533,2018,5100481564,1,,9130076232      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481565,1,,9130076249      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481566,1,,9130076233      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481567,1,,9130076247      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481568,1,,9130076234      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481569,1,,9130076244      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481570,1,,9130076242      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481571,1,,9130076235      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481572,1,,9130076236      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481573,1,,9130076237      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481574,1,,9130076239      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481575,1,,9130076240      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481582,1,,9130076241      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481584,1,,9130076238      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481586,1,,9130076253      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481589,1,,9130076254      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481591,1,,9130076260      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481592,1,,9130076261      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481594,1,,9130076262      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481595,1,,9130076263      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481597,1,,9130076264      ,RE   ,1123.9,21/8/2018
C04  ,300533,2018,5100481605,1,,9130076387      ,RE   ,5004.3999,21/8/2018
C04  ,300533,2018,5100481610,1,,9130076274      ,RE   ,4704.3999,21/8/2018
C04  ,300533,2018,5100483488,1,,9130076265      ,RE   ,1123.9,21/8/2018
C04  ,300533,2018,5100484019,1,,9130076266      ,RE   ,1123.9,21/8/2018
C04  ,300533,2018,5100484020,1,,9130076267      ,RE   ,1123.9,21/8/2018
C04  ,300533,2018,5100484025,1,,9130076268      ,RE   ,1123.9,21/8/2018
C04  ,300533,2018,5100484028,1,,9130076269      ,RE   ,3371.7,21/8/2018
C04  ,300533,2018,5100484029,1,,9130076270      ,RE   ,2247.8,21/8/2018
C04  ,300533,2018,5100484030,1,,9130076271      ,RE   ,1123.9,21/8/2018
C04  ,300533,2018,5100484031,1,,9130076272      ,RE   ,1123.9,21/8/2018
C04  ,300533,2018,5100484035,1,,9130076273      ,RE   ,1123.9,21/8/2018
C04  ,300533,2018,5100484039,1,,9130076275      ,RE   ,1123.9,21/8/2018
C04  ,300533,2018,5100484040,1,,9130076276      ,RE   ,2247.8,21/8/2018
C04  ,300533,2018,5100484041,1,,9130076277      ,RE   ,2247.8,21/8/2018
C04  ,300533,2018,5100484042,1,,9130076278      ,RE   ,4495.6001,21/8/2018
C04  ,300533,2018,5100484043,1,,9130076279      ,RE   ,3371.7,21/8/2018
C04  ,300533,2018,5100484044,1,,9130076280      ,RE   ,2247.8,21/8/2018
C04  ,300533,2018,5100484045,1,,9130076281      ,RE   ,3371.7,21/8/2018
C04  ,300533,2018,5100484046,1,,9130076282      ,RE   ,4495.6001,21/8/2018
C04  ,300533,2018,5100484049,1,,9130076283      ,RE   ,4495.6001,21/8/2018
C04  ,300533,2018,5100484050,1,,9130076284      ,RE   ,1123.9,21/8/2018
C04  ,300533,2018,5100484051,1,,9130076285      ,RE   ,3371.7,21/8/2018
C04  ,300533,2018,5100481603,1,,9130076388      ,RE   ,21461.1,27/8/2018
C04  ,300533,2018,5100481604,1,,9130076389      ,RE   ,21461.1,27/8/2018
C04  ,300533,2018,5100481682,1,,9130076390      ,RE   ,19089.9,27/8/2018
C04  ,300533,2018,5100481683,1,,9130076391      ,RE   ,22991.1,27/8/2018
C04  ,300533,2018,5100481687,1,,9130076392      ,RE   ,19324.5,27/8/2018
C04  ,300533,2018,5100481688,1,,9130076393      ,RE   ,16747.801,27/8/2018
C04  ,300533,2018,5100481689,1,,9130076394      ,RE   ,18617.5,27/8/2018
C04  ,300533,2018,5100481694,1,,9130076395      ,RE   ,13868.1,27/8/2018
C04  ,300533,2018,5100481696,1,,9130076396      ,RE   ,16307.7,27/8/2018
C04  ,300533,2018,5100481697,1,,9130076398      ,RE   ,13464.1,27/8/2018
C04  ,300533,2018,5100481698,1,,9130076399      ,RE   ,19324.5,27/8/2018
C04  ,300533,2018,5100481699,1,,9130076400      ,RE   ,18617.5,27/8/2018
C04  ,300533,2018,5100481700,1,,9130076401      ,RE   ,19324.5,27/8/2018
C04  ,300533,2018,5100481701,1,,9130076402      ,RE   ,19021.5,27/8/2018
C04  ,300533,2018,5100481702,1,,9130076403      ,RE   ,20154.301,27/8/2018
C04  ,300533,2018,5100481703,1,,9130076404      ,RE   ,16747.801,27/8/2018
C04  ,300533,2018,5100484054,1,,9130076405      ,RE   ,4495.6001,27/8/2018
C04  ,300533,2018,5100484056,1,,9130076408      ,RE   ,33239,27/8/2018
C04  ,300533,2018,5100484871,1,,9130076406      ,RE   ,1792.8,27/8/2018
C04  ,300533,2018,5100481576,1,,9130076601      ,RE   ,18617.5,29/8/2018
C04  ,300533,2018,5100481577,1,,9130076600      ,RE   ,18617.5,29/8/2018
C04  ,300533,2018,5100481578,1,,9130076599      ,RE   ,19021.5,29/8/2018
C04  ,300533,2018,5100481579,1,,9130076597      ,RE   ,19021.5,29/8/2018
C04  ,300533,2018,5100481580,1,,9130076596      ,RE   ,18217.26,29/8/2018
C04  ,300533,2018,5100481581,1,,9130076594      ,RE   ,17813.26,29/8/2018
C04  ,300533,2018,5100481583,1,,9130076593      ,RE   ,18217.26,29/8/2018
C04  ,300533,2018,5100481585,1,,9130076595      ,RE   ,18217.26,29/8/2018
C04  ,300533,2018,5100481587,1,,9130076591      ,RE   ,17813.26,29/8/2018
C04  ,300533,2018,5100481588,1,,9130076590      ,RE   ,17813.26,29/8/2018
C04  ,300533,2018,5100481590,1,,9130076589      ,RE   ,19021.5,29/8/2018
C04  ,300533,2018,5100481593,1,,9130076588      ,RE   ,21461.1,29/8/2018
C04  ,300533,2018,5100481596,1,,9130076587      ,RE   ,15236.56,29/8/2018
C04  ,300533,2018,5100481598,1,,9130076586      ,RE   ,18217.26,29/8/2018
C04  ,300533,2018,5100481599,1,,9130076585      ,RE   ,19021.5,29/8/2018
C04  ,300533,2018,5100481600,1,,9130076584      ,RE   ,22168.1,29/8/2018
C04  ,300533,2018,5100481601,1,,9130076583      ,RE   ,21461.1,29/8/2018
C04  ,300533,2018,5100481602,1,,9130076581      ,RE   ,22284.1,29/8/2018
C04  ,300533,2018,5100481606,1,,9130076537      ,RE   ,21461.1,29/8/2018
C04  ,300533,2018,5100481607,1,,9130076536      ,RE   ,17813.26,29/8/2018
C04  ,300533,2018,5100481609,1,,9130076535      ,RE   ,18368.76,29/8/2018
C04  ,300533,2018,5100481633,1,,9130076534      ,RE   ,22991.1,29/8/2018
C04  ,300533,2018,5100481612,1,,9130076533      ,RE   ,22284.1,29/8/2018
C04  ,300533,2018,5100481613,1,,9130076532      ,RE   ,22284.1,29/8/2018
C04  ,300533,2018,5100481615,1,,9130076531      ,RE   ,18217.26,29/8/2018
C04  ,300533,2018,5100481616,1,,9130076530      ,RE   ,18217.26,29/8/2018
C04  ,300533,2018,5100481617,1,,9130076529      ,RE   ,19324.5,29/8/2018
C04  ,300533,2018,5100481618,1,,9130076528      ,RE   ,22486.1,29/8/2018
C04  ,300533,2018,5100481620,1,,9130076526      ,RE   ,18617.5,29/8/2018
C04  ,300533,2018,5100481621,1,,9130076525      ,RE   ,17813.26,29/8/2018
C04  ,300533,2018,5100481622,1,,9130076524      ,RE   ,21461.1,29/8/2018
C04  ,300533,2018,5100481623,1,,9130076523      ,RE   ,19324.5,29/8/2018
C04  ,300533,2018,5100481624,1,,9130076522      ,RE   ,21461.1,29/8/2018
C04  ,300533,2018,5100481625,1,,9130076520      ,RE   ,21461.1,29/8/2018
C04  ,300533,2018,5100481626,1,,9130076518      ,RE   ,19021.5,29/8/2018
C04  ,300533,2018,5100481627,1,,9130076517      ,RE   ,19021.5,29/8/2018
C04  ,300533,2018,5100481628,1,,9130076516      ,RE   ,18617.5,29/8/2018
C04  ,300533,2018,5100481629,1,,9130076515      ,RE   ,19021.5,29/8/2018
C04  ,300533,2018,5100481630,1,,9130076514      ,RE   ,21865.1,29/8/2018
C04  ,300533,2018,5100481631,1,,9130076513      ,RE   ,18884.4,29/8/2018
C04  ,300533,2018,5100481632,1,,9130076512      ,RE   ,18617.5,29/8/2018
C04  ,300533,2018,5100481633,1,,9130076510      ,RE   ,19021.5,29/8/2018
C04  ,300533,2018,5100481634,1,,9130076509      ,RE   ,21461.1,29/8/2018
C04  ,300533,2018,5100481635,1,,9130076508      ,RE   ,19324.5,29/8/2018
C04  ,300533,2018,5100481636,1,,9130076506      ,RE   ,19324.5,29/8/2018
C04  ,300533,2018,5100481637,1,,9130076507      ,RE   ,17813.26,29/8/2018
C04  ,300533,2018,5100481638,1,,9130076505      ,RE   ,18617.5,29/8/2018
C04  ,300533,2018,5100481639,1,,9130076503      ,RE   ,21865.1,29/8/2018
C04  ,300533,2018,5100481640,1,,9130076504      ,RE   ,19324.5,29/8/2018
C04  ,300533,2018,5100481641,1,,9130076501      ,RE   ,22284.1,29/8/2018
C04  ,300533,2018,5100481662,1,,9130076579      ,RE   ,22284.1,29/8/2018
C04  ,300533,2018,5100481665,1,,9130076578      ,RE   ,21580.061,29/8/2018
C04  ,300533,2018,5100481668,1,,9130076576      ,RE   ,18217.26,29/8/2018
C04  ,300533,2018,5100481671,1,,9130076575      ,RE   ,18217.26,29/8/2018
C04  ,300533,2018,5100481672,1,,9130076574      ,RE   ,17813.26,29/8/2018
C04  ,300533,2018,5100481673,1,,9130076573      ,RE   ,18617.5,29/8/2018
C04  ,300533,2018,5100481674,1,,9130076572      ,RE   ,18617.5,29/8/2018
C04  ,300533,2018,5100481676,1,,9130076571      ,RE   ,17813.26,29/8/2018
C04  ,300533,2018,5100481706,1,,9130076558      ,RE   ,18617.5,29/8/2018
C04  ,300533,2018,5100481707,1,,9130076559      ,RE   ,19324.5,29/8/2018
C04  ,300533,2018,5100481708,1,,9130076560      ,RE   ,14171.1,29/8/2018
C04  ,300533,2018,5100481709,1,,9130076561      ,RE   ,23294.1,29/8/2018
C04  ,300533,2018,5100481710,1,,9130076562      ,RE   ,19021.5,29/8/2018
C04  ,300533,2018,5100481733,1,,9130076563      ,RE   ,1123.9,29/8/2018
C04  ,300533,2018,5100481712,1,,9130076564      ,RE   ,19021.5,29/8/2018
C04  ,300533,2018,5100481713,1,,9130076565      ,RE   ,16040.8,29/8/2018
C04  ,300533,2018,5100481714,1,,9130076566      ,RE   ,18617.5,29/8/2018
C04  ,300533,2018,5100481715,1,,9130076567      ,RE   ,18617.5,29/8/2018
C04  ,300533,2018,5100481716,1,,9130076568      ,RE   ,14880.5,29/8/2018
C04  ,300533,2018,5100481717,1,,9130076569      ,RE   ,1123.9,29/8/2018
C04  ,300533,2018,5100481643,1,,9130076676      ,RE   ,26030.801,30/8/2018
C04  ,300533,2018,5100481644,1,,9130076675      ,RE   ,21274.199,30/8/2018
C04  ,300533,2018,5100481645,1,,9130076674      ,RE   ,20235,30/8/2018
C04  ,300533,2018,5100481646,1,,9130076672      ,RE   ,19441.26,30/8/2018
C04  ,300533,2018,5100481647,1,,9130076671      ,RE   ,30613.5,30/8/2018
C04  ,300533,2018,5100481648,1,,9130076668      ,RE   ,22655.1,30/8/2018
C04  ,300533,2018,5100481649,1,,9130076667      ,RE   ,17813.26,30/8/2018
C04  ,300533,2018,5100481650,1,,9130076666      ,RE   ,18336.66,30/8/2018
C04  ,300533,2018,5100481651,1,,9130076665      ,RE   ,16641.859,30/8/2018
C04  ,300533,2018,5100481652,1,,9130076664      ,RE   ,15305.5,30/8/2018
