_key_in,_key_out,_score,BUKRS,LIFNR,GJAHR,BELNR,BUZEI,XBLNR,BLART,DMBTR,BLDAT,BLDAT_clean,DMBTR_clean,XBLNR_clean,LIFNR_clean,_Similarity_XBLNR
50,50,1,C04  ,300533,2018,5100481538,1,9130076212      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076212      ,300533,1
52,52,1,C04  ,300533,2018,5100481540,1,9130076214      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076214      ,300533,1
54,54,1,C04  ,300533,2018,5100481542,1,9130076217      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076217      ,300533,1
55,55,1,C04  ,300533,2018,5100481543,1,9130076218      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076218      ,300533,1
56,56,1,C04  ,300533,2018,5100481544,1,9130076219      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076219      ,300533,1
53,56,0.90000004,C04  ,300533,2018,5100481541,1,9130076215      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076219      ,300533,0.90000004
48,56,0.90000004,C04  ,300533,2018,5100481536,1,9130076210      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076219      ,300533,0.90000004
51,56,0.90000004,C04  ,300533,2018,5100481539,1,9130076213      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076219      ,300533,0.90000004
57,57,1,C04  ,300533,2018,5100481545,1,9130076220      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076220      ,300533,1
58,57,0.90000004,C04  ,300533,2018,5100481546,1,9130076221      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076220      ,300533,0.90000004
59,57,0.90000004,C04  ,300533,2018,5100481547,1,9130076222      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076220      ,300533,0.90000004
60,57,0.90000004,C04  ,300533,2018,5100481548,1,9130076223      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076220      ,300533,0.90000004
61,57,0.90000004,C04  ,300533,2018,5100481549,1,9130076224      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076220      ,300533,0.90000004
62,57,0.90000004,C04  ,300533,2018,5100481550,1,9130076225      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076220      ,300533,0.90000004
63,57,0.90000004,C04  ,300533,2018,5100481551,1,9130076227      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076220      ,300533,0.90000004
65,57,0.90000004,C04  ,300533,2018,5100481553,1,9130076228      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076220      ,300533,0.90000004
66,57,0.90000004,C04  ,300533,2018,5100481554,1,9130076229      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076220      ,300533,0.90000004
75,57,0.90000004,C04  ,300533,2018,5100481563,1,9130076226      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076220      ,300533,0.90000004
67,67,1,C04  ,300533,2018,5100481555,1,9130076230      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076230      ,300533,1
74,67,0.90000004,C04  ,300533,2018,5100481562,1,9130076231      ,RE   ,4704.3999,2018-08-21 00:00:00,2018-08-21 00:00:00,4704.3999,9130076230      ,300533,0.90000004
